ICD_1,ICD_2,COUNT
428,427.31,115
427.31,428,104
584.9,428,73
401.9,428,72
428,518.81,71
428,401.9,67
518.81,428,64
428,584.9,62
584.9,427.31,57
518.81,427.31,54
428,414.01,51
427.31,584.9,51
401.9,427.31,51
427.31,401.9,50
414.01,428,47
518.81,401.9,47
427.31,518.81,46
584.9,518.81,46
250,428,45
486,428,43
401.9,584.9,43
403.91,427.31,43
401.9,518.81,42
427.31,403.91,40
428,486,40
599,428,40
428,250,40
403.91,428,39
428,403.91,39
496,428,39
427.31,599,38
428,599,38
599,427.31,37
428,995.92,36
599,401.9,36
428,38.9,36
414.01,427.31,35
486,427.31,35
38.9,428,35
276.2,428,35
427.31,995.92,35
995.92,428,35
584.9,401.9,34
428,276.2,34
401.9,250,33
250,427.31,33
428,496,32
428,244.9,32
401.9,599,31
427.31,486,31
428,584.5,31
427.31,250,30
401.9,995.92,30
250,401.9,30
244.9,428,30
428,507,29
584.9,414.01,29
995.92,427.31,29
38.9,427.31,29
401.9,496,28
401.9,38.9,28
401.9,414.01,28
584.9,250,28
496,401.9,27
427.31,244.9,27
414.01,401.9,27
518.81,584.9,26
428,425.4,26
244.9,427.31,26
486,401.9,26
496,427.31,26
427.31,38.9,26
276.2,427.31,26
272,428,25
599,518.81,25
427.31,496,25
427.31,414.01,25
427.31,584.5,24
486,518.81,24
250,518.81,24
427.31,276.2,24
584.9,599,24
507,428,24
507,518.81,24
414.01,518.81,23
427.31,518.84,23
995.92,584.9,23
496,518.81,23
250,584.9,23
599,250,23
507,427.31,23
38.9,401.9,23
276.7,428,23
584.9,486,22
599,584.9,22
518.81,414.01,22
401.9,276.2,22
428,272,22
276.5,518.81,22
507,584.9,22
428,285.9,22
518.81,486,22
486,584.9,22
428,785.52,22
38.9,518.81,22
276.5,428,22
518.81,995.92,22
785.52,428,21
403.91,995.92,21
38.9,584.9,21
428,410.71,21
518.81,403.91,21
428,518.84,21
995.92,401.9,21
518.81,38.9,21
518.81,276.2,20
428,424,20
584.9,403.91,20
412,428,20
584.9,995.92,20
276.1,428,20
401.9,486,20
428,412,20
428,276.1,20
486,995.92,20
244.9,401.9,20
403.91,518.81,20
518.81,250,20
427.31,511.9,19
584.5,427.31,19
401.9,244.9,19
401.9,785.52,19
995.92,518.81,19
518.81,599,19
403.91,38.9,19
427.31,507,19
276.5,427.31,19
427.31,785.52,19
428,V45.81,19
276.2,584.9,19
403.91,414.01,19
428,511.9,19
V45.81,427.31,19
428,416.8,18
250,414.01,18
785.52,427.31,18
403.91,584.9,18
427.5,428,18
401.9,507,18
250,599,18
584.9,496,18
428,276.5,18
507,401.9,18
250,995.92,18
V45.81,428,18
427.31,V58.61,18
285.9,427.31,17
584.9,276.2,17
427.31,285.9,17
401.9,285.9,17
412,427.31,17
427.31,424,17
276.2,401.9,17
428,427.5,17
427.31,V45.01,17
276.5,401.9,17
482.41,428,17
584.5,428,17
585.9,428,17
276.2,518.81,17
38.9,250,16
414.01,995.92,16
428,V45.82,16
518.84,428,16
428,585.9,16
401.9,584.5,16
584.9,38.9,16
428,428.3,16
428,427.1,16
414.01,410.71,16
272,427.31,16
584.5,401.9,16
V45.82,428,16
272,414.01,16
428,785.51,16
496,486,16
496,584.9,16
V58.61,427.31,16
287.5,584.9,16
486,496,16
428,491.21,16
458.9,428,16
996.62,428,16
486,414.01,15
250,276.2,15
486,250,15
428,250.4,15
496,414.01,15
428,8.45,15
427.31,285.1,15
428,458.9,15
518.81,496,15
427.31,276,15
414.01,250,15
458.9,427.31,15
401.9,518.84,15
412,414.01,15
276.5,584.9,15
287.5,428,15
996.62,995.92,15
285.1,428,15
401.9,272,15
995.92,599,15
428,285.1,15
410.71,428,15
427.31,8.45,15
414.01,584.9,15
785.51,428,15
427.31,425.4,15
414.01,V45.82,15
486,599,15
428,482.41,15
401.9,276.5,15
V44.0,428,15
401.9,427.5,15
491.21,401.9,15
599,486,15
486,38.9,14
244.9,599,14
995.92,38.9,14
491.21,518.81,14
518.81,584.5,14
V45.01,427.31,14
785.51,427.31,14
584.9,585.9,14
414.01,412,14
285.9,428,14
250,584.5,14
491.21,428,14
518.84,584.9,14
996.62,403.91,14
428,V44.0,14
584.9,285.9,14
518.81,511.9,14
276.7,427.31,14
250,496,14
V45.81,401.9,14
427.31,412,14
428,996.62,14
403.91,599,14
428,287.5,14
287.5,427.31,14
250.4,428,14
401.9,410.71,14
250.4,403.91,14
785.52,401.9,14
585.9,427.31,14
518.84,518.81,13
427.31,250.4,13
530.81,428,13
285.1,427.31,13
427.5,427.31,13
518.84,427.31,13
996.81,403.91,13
414.01,38.9,13
427.31,398.91,13
511.9,401.9,13
403.91,785.52,13
244.9,250,13
V44.0,427.31,13
427.31,428.3,13
599,995.92,13
424,428,13
491.21,427.31,13
285.1,518.81,13
8.45,428,13
276,428,13
584.9,584.5,13
428,V45.01,13
410.71,427.31,13
427.5,401.9,13
401.9,518.5,13
403.91,250.4,13
427.31,518.5,13
995.92,403.91,13
518.81,491.21,13
403.91,996.81,13
785.52,584.9,13
518.81,507,13
287.5,250,13
428,789.5,13
428,530.81,13
250,276.5,12
401.9,412,12
